env,algo,config,alpha,w_max,ess,saturation_mass,fraction_clipped,top5_mass
antmaze-medium,CRL,18,12.986643500626087,100,0.23242754621711972,0.871416995284008,0.18890625,0.23064800536880278
antmaze-medium,CRL,18,12.986643500626087,200,0.2128876767555131,0.8759502544513159,0.17390625,0.2518455358709983
antmaze-medium,CRL,19,15.334997288882732,20,0.299107095185778,0.9056740253831382,0.25765625,0.17575238818835914
antmaze-medium,CRL,19,15.334997288882732,50,0.2738035635353083,0.8964325941654494,0.2325,0.1927812030463332
antmaze-medium,CRL,19,15.334997288882732,100,0.2552593359027085,0.8974170140922715,0.216796875,0.2069718518987581
antmaze-medium,CRL,19,15.334997288882732,200,0.2377219154320488,0.8958569398089145,0.20140625,0.22240048156621617
antmaze-medium,CRL,20,19.597947243601084,20,0.4,1.0,0.4,0.125
antmaze-medium,CRL,20,19.597947243601084,50,0.4,1.0,0.4,0.125
antmaze-medium,CRL,20,19.597947243601084,100,0.4,1.0,0.4,0.125
antmaze-medium,CRL,20,19.597947243601084,200,0.4,1.0,0.4,0.125
antmaze-medium,CRL,21,8.813923168927431,20,0.27277081611663934,0.8190016338801342,0.202734375,0.2019888422671622
antmaze-medium,CRL,21,8.813923168927431,50,0.23274599881536995,0.8169877047008873,0.1715625,0.23810206330080505
antmaze-medium,CRL,21,8.813923168927431,100,0.20544364513958424,0.8131483065743356,0.150234375,0.27062658149119856
antmaze-medium,CRL,21,8.813923168927431,200,0.1808307864674787,0.8180839452106208,0.1328125,0.30798454407929254
antmaze-medium,CRL,22,4.2236624378710985,20,0.21510115899436796,0.6064025311935114,0.10171875,0.29807804912737884
antmaze-medium,CRL,22,4.2236624378710985,50,0.15363319268459266,0.6065529666773383,0.070703125,0.4289435344458525
antmaze-medium,CRL,22,4.2236624378710985,100,0.1173510396661803,0.609418671967256,0.0540625,0.5636242052876356
antmaze-medium,CRL,22,4.2236624378710985,200,0.08942364595097266,0.5977802201806172,0.04015625,0.7098194345421679
antmaze-medium,CRL,23,23.43780462630093,20,0.31375328232628674,0.9326288719741137,0.2828125,0.1648846624484621
antmaze-medium,CRL,23,23.43780462630093,50,0.2950078580736041,0.9275298829199939,0.26375,0.17583504889478557
antmaze-medium,CRL,23,23.43780462630093,100,0.2808300839045849,0.9281470175815364,0.250859375,0.18499348839993252
antmaze-medium,CRL,23,23.43780462630093,200,0.2672165588184005,0.9325420930805458,0.240078125,0.19421638124684326
antmaze-medium,CRL,24,24.86070198006928,20,0.30424483640822964,0.9381142557684998,0.276640625,0.16955468051167463
antmaze-medium,CRL,24,24.86070198006928,50,0.2882375286542266,0.938324243905983,0.262265625,0.17888814897224578
antmaze-medium,CRL,24,24.86070198006928,100,0.27642425594189657,0.9396103599678199,0.2515625,0.18675485415509463
antmaze-medium,CRL,24,24.86070198006928,200,0.26488080075071985,0.9334632815232017,0.239140625,0.19517036921752665
antmaze-medium,CRL,25,6.584060238674283,20,0.252152320897888,0.7533102840249151,0.16453125,0.22892620217281368
antmaze-medium,CRL,25,6.584060238674283,50,0.20256102878382407,0.755848469366705,0.131875,0.28657761871723414
antmaze-medium,CRL,25,6.584060238674283,100,0.17119380291218342,0.7576410593342077,0.111796875,0.33884715441921237
antmaze-medium,CRL,25,6.584060238674283,200,0.14455923563054945,0.7537024595933602,0.09359375,0.40264572131865656
antmaze-medium,CRL,26,10.204434636980295,20,0.2779863821469214,0.8563062418278342,0.219921875,0.1946841899715147
antmaze-medium,CRL,26,10.204434636980295,50,0.24379031565716872,0.8514854651691252,0.19109375,0.22279259922659037
antmaze-medium,CRL,26,10.204434636980295,100,0.22016665023831128,0.8533805441338174,0.173125,0.24646369505669816
antmaze-medium,CRL,26,10.204434636980295,200,0.19882146898348851,0.8483011735279911,0.155,0.27364553984773904
antmaze-medium,CRL,27,21.92595737054944,20,0.3061525692267491,0.931523971473378,0.274765625,0.16951246566476028
antmaze-medium,CRL,27,21.92595737054944,50,0.2869719297600011,0.9269157102565141,0.25609375,0.18097195075172942
